OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072599,E01014373,184,2,6,1,1,4,0,2,1,4,3,2,5,3,2,2,3,6,1,2,4,1,0,2,1,1,2,2,2,1,3,1,2,3,2,2,3,3,4,5,4,5,2,0,4,3,1,3,3,3,1,3,6,1,2,3,0,3,1,1,1,3,0,0,3,0,2,1,2,2,1,2,0,0,4,2,1,0,2,0,0,1,1,0,0,2,2,0,1,0,0,8
E00072602,E01014373,192,2,0,2,2,3,1,4,4,6,4,5,2,2,5,1,3,2,2,3,2,1,2,0,1,0,2,0,0,1,1,1,0,4,3,1,3,0,2,1,1,2,4,4,2,5,2,2,2,4,2,3,8,0,3,8,2,2,0,6,3,2,5,4,2,4,2,0,3,1,2,2,3,0,2,0,1,2,1,2,1,2,0,2,2,1,1,1,1,0,0,0
E00072593,E01014374,141,0,1,1,1,2,1,2,1,3,0,1,3,1,1,2,1,2,0,1,2,0,0,1,1,0,0,0,0,0,2,0,1,2,1,0,0,0,3,0,1,1,1,2,2,3,2,3,1,3,1,3,2,2,0,0,2,1,0,4,5,2,2,0,0,0,1,0,0,4,2,4,0,4,4,3,5,2,0,3,0,2,0,1,1,2,1,0,3,0,2,17
E00072600,E01014374,188,0,1,3,4,1,1,1,4,4,3,2,4,0,0,4,1,1,0,0,2,0,0,1,2,0,1,2,1,0,1,0,0,2,1,1,3,2,2,1,1,2,1,5,5,2,1,4,3,4,0,6,1,4,3,1,1,1,6,0,5,0,4,2,2,5,3,3,0,4,0,3,4,1,1,2,2,4,2,5,4,1,2,5,2,1,1,1,1,2,0,9
E00072601,E01014374,137,1,0,0,2,6,0,0,1,0,1,0,0,3,2,1,1,2,2,2,0,1,0,2,1,2,2,2,1,1,0,1,0,0,1,2,2,2,1,2,2,3,1,1,4,0,2,1,1,2,5,3,3,2,0,0,2,3,1,2,0,2,3,3,0,1,0,1,5,2,0,1,6,1,1,0,3,1,3,0,2,1,0,2,1,1,2,3,1,0,2,4
E00072607,E01014374,185,2,0,1,4,3,2,1,4,9,5,2,2,2,0,2,1,2,2,1,2,0,0,1,1,1,1,0,0,3,0,1,1,1,0,0,0,3,1,2,3,5,5,3,4,3,4,1,4,1,3,3,3,5,2,2,1,0,3,2,0,2,2,2,6,3,1,4,1,7,3,0,1,3,2,1,2,2,2,1,2,2,3,0,2,2,2,1,2,2,0,2
E00072608,E01014374,136,1,1,0,2,1,2,3,1,3,2,3,3,0,3,3,2,2,2,1,0,0,1,0,2,2,1,1,1,2,0,0,2,2,1,3,2,1,1,0,0,5,5,1,0,2,2,2,1,1,1,1,5,3,1,1,1,1,1,2,3,0,1,4,2,1,1,4,3,0,1,2,0,0,2,1,1,2,2,2,0,1,2,0,0,1,0,1,1,1,2,2
E00072596,E01014375,164,1,1,2,1,0,2,1,2,1,1,1,1,3,0,2,1,3,3,2,0,1,0,2,1,3,2,1,2,2,2,1,0,1,2,1,3,2,0,2,0,1,3,3,0,5,1,0,2,1,2,3,4,5,4,2,4,6,3,2,7,3,2,2,0,1,2,3,6,2,3,2,4,2,2,0,3,1,1,2,1,0,0,0,0,2,2,0,1,0,2,1
E00072609,E01014375,171,2,0,0,3,1,2,1,1,2,4,0,5,1,1,8,2,3,2,3,0,2,1,2,2,3,2,0,0,0,2,0,1,1,3,0,2,1,2,0,1,2,1,2,3,3,1,2,3,6,3,3,6,4,4,8,3,3,1,2,3,1,1,2,3,1,1,0,2,1,1,7,4,1,1,3,0,1,2,2,0,1,0,0,2,1,1,1,0,0,1,1
E00072610,E01014375,49,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,2,1,0,1,2,2,1,2,2,2,1,0,0,0,0,3,0,0,0,1,0,0,2,1,1,0,0,1,0,2,0,1,1,0,1,0,0
E00072612,E01014375,150,3,2,2,2,3,2,3,1,5,3,1,3,0,3,1,1,2,1,2,1,1,1,1,2,1,1,3,1,0,2,2,0,2,0,1,1,1,1,2,1,2,2,4,3,3,2,3,2,4,4,2,1,3,3,2,1,2,1,2,1,5,1,2,3,2,1,7,2,1,0,3,1,0,3,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0
